Filename,HiFspp,LoFspp,Consensus,ByVote,#Maj,#Accpt,MeanClssn,DiscrProb,Clssn if<Thr,DP if<Thr,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,1st,2nd,3rd,4th,<--All spp in sqnc classified with a DP>0.75 in order of prevalence,ParentDir,NextDirUp,FileLngth,Version,Filter,Preemphasis,MaxSegLngth,DP Thr,AccpQuality,AccpQualForTally,Max#CallsConsidered
REF-Summer_Tree-20130519_211058-Lano.wav,,1,Lano,Lano,2,3,Lano,1,,,27.51,0.31,11.81,0.47,2.77,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_212338.wav,,1,,,,,,,Lano/Tabr,0.573/0.408,,,,,2.52,,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_212959-Lano.wav,,1,Lano,Lano,2,2,Lano,0.9954,,,26.79,0.4,14.53,2.93,3.5,Lano,Epfu,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_215208.wav,,1,,Lano,1,1,Lano,0.9997,,,26.4,,13.31,,2.76,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_215234-Lano.wav,,1,Lano,Lano,4,5,Lano,0.9499,,,26.13,1.02,12.6,1.29,3.83,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_215248-Lano.wav,,1,Lano,Lano,7,7,Lano,0.9884,,,26.92,0.34,14.42,0.74,3.36,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_215416-Lano.wav,,1,Lano,Lano,2,3,Lano,0.9938,,,26.35,0.12,15.03,0.12,1.92,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_215434-Lano.wav,,1,Lano,Lano,2,2,Lano,0.994,,,26.58,0.02,13.31,0.58,2.52,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_215624-Lano.wav,,1,Lano,Lano,5,5,Lano,0.967,,,26.11,0.37,15.15,0.76,2.44,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_215653.wav,,1,,Lano,1,1,Lano,0.9896,,,25.88,,17.83,,2.52,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_215759.wav,,1,,,,,,,Tabr/Lano,0.832/0.164,,,,,2.99,Tabr,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_220025-Lano.wav,,1,Lano,Lano,4,5,Lano,0.985,,,26.21,0.11,15.64,0.89,2.92,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_220044-Lano.wav,,1,Lano,Lano,6,6,Lano,0.9846,,,26.38,0.25,16.22,3.02,2.97,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_220157.wav,,1,,,,,,,,,,,,,4.31,,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_220321-Tabr.wav,,1,Tabr,Tabr,1,1,Tabr,0.998,,,26.5,,10.12,,2.63,Tabr,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_220424.wav,,1,,LanoTabr,1,2,,,Lano/Tabr,0.766/0.234,26.72,,13.7,,3.63,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_220512.wav,,1,,LanoTabr,1,2,,,Lano/Tabr,0.663/0.326,26.5,,14.19,,2.06,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_220654.wav,,1,,Lano,1,1,Lano,0.9682,,,25.57,,12.38,,2.77,Tabr,Lano,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
